ModelKey,Keyword,Count
gemma3-27b-s1-v9,scrum,8
gemma3-27b-s1-v9,sprint,5
gemma3-27b-s1-v9,sprint review,3
gemma3-27b-s1-v9,stakeholder,3
gemma3-27b-s1-v9,user story,3
qwen3-32b-s2-v7,entity,2
qwen3-32b-s2-v7,sprint,2
qwen3-32b-s2-v7,sprint review,2
qwen3-32b-s2-v7,stakeholder,2
qwen3-32b-s2-v7,user story,2
dolphin3-8b-s1-v2,scrum,7
dolphin3-8b-s1-v2,product owner,4
dolphin3-8b-s1-v2,sprint review,3
dolphin3-8b-s1-v2,stakeholder,3
dolphin3-8b-s1-v2,decision variables,2
mistral-small3.2-24b-s1-v5,scrum,8
mistral-small3.2-24b-s1-v5,product backlog,3
mistral-small3.2-24b-s1-v5,role,3
mistral-small3.2-24b-s1-v5,sprint,3
mistral-small3.2-24b-s1-v5,stakeholder,3
gemma3-1b-s1-v2,scrum,7
gemma3-1b-s1-v2,stakeholder,4
gemma3-1b-s1-v2,user story,4
gemma3-1b-s1-v2,feedback,3
gemma3-1b-s1-v2,product backlog,3
mistral-small3.2-24b-s1-v3,scrum,8
mistral-small3.2-24b-s1-v3,stakeholder,4
mistral-small3.2-24b-s1-v3,optimization problem,3
mistral-small3.2-24b-s1-v3,sprint,3
mistral-small3.2-24b-s1-v3,entity,2
mistral-small3.2-24b-s1-v4,scrum,8
mistral-small3.2-24b-s1-v4,stakeholder,4
mistral-small3.2-24b-s1-v4,optimization problem,3
mistral-small3.2-24b-s1-v4,sprint,3
mistral-small3.2-24b-s1-v4,entity,2
dolphin3-8b-s2-v6,sprint,2
dolphin3-8b-s2-v6,benefit,1
dolphin3-8b-s2-v6,entity,1
dolphin3-8b-s2-v6,feature,1
dolphin3-8b-s2-v6,must match,1
mistral-small3.2-24b-s1-v6,scrum,8
mistral-small3.2-24b-s1-v6,sprint,4
mistral-small3.2-24b-s1-v6,stakeholder,4
mistral-small3.2-24b-s1-v6,product backlog,3
mistral-small3.2-24b-s1-v6,role,3
dolphin3-8b-s2-v1,scrum,2
dolphin3-8b-s2-v1,benefit,1
dolphin3-8b-s2-v1,decision variables,1
dolphin3-8b-s2-v1,entity,1
dolphin3-8b-s2-v1,must match,1
dolphin3-8b-s2-v7,scrum,2
dolphin3-8b-s2-v7,benefit,1
dolphin3-8b-s2-v7,decision variables,1
dolphin3-8b-s2-v7,must match,1
dolphin3-8b-s2-v7,product backlog,1
deepseek-r1-8b-s1-v3,scrum,8
deepseek-r1-8b-s1-v3,product backlog,5
deepseek-r1-8b-s1-v3,optimization problem,4
deepseek-r1-8b-s1-v3,sprint,4
deepseek-r1-8b-s1-v3,user story,4
mistral-small3.2-24b-s1-v2,scrum,8
mistral-small3.2-24b-s1-v2,stakeholder,5
mistral-small3.2-24b-s1-v2,sprint,3
mistral-small3.2-24b-s1-v2,entity,2
mistral-small3.2-24b-s1-v2,feedback,2
dolphin3-8b-s1-v8,scrum,7
dolphin3-8b-s1-v8,role,3
dolphin3-8b-s1-v8,sprint review,3
dolphin3-8b-s1-v8,stakeholder,3
dolphin3-8b-s1-v8,entity,2
qwen-strategy2-v13,benefit,1
qwen-strategy2-v13,must match,1
qwen-strategy2-v13,product backlog,1
qwen-strategy2-v13,role,1
qwen-strategy2-v13,scrum,1
qwen-strategy2-v1,benefit,1
qwen-strategy2-v1,must match,1
qwen-strategy2-v1,product backlog,1
qwen-strategy2-v1,role,1
qwen-strategy2-v1,scrum,1
qwen-strategy2-v2,benefit,1
qwen-strategy2-v2,must match,1
qwen-strategy2-v2,product backlog,1
qwen-strategy2-v2,role,1
qwen-strategy2-v2,scrum,1
gemini-s2-v24,benefit,1
gemini-s2-v24,must match,1
gemini-s2-v24,product backlog,1
gemini-s2-v24,role,1
gemini-s2-v24,scrum,1
mistral-s2-v21,benefit,1
mistral-s2-v21,must match,1
mistral-s2-v21,product backlog,1
mistral-s2-v21,role,1
mistral-s2-v21,scrum,1
mistral-strategy2-v13,benefit,1
mistral-strategy2-v13,must match,1
mistral-strategy2-v13,product backlog,1
mistral-strategy2-v13,role,1
mistral-strategy2-v13,scrum,1
mistral-s2-v23,benefit,1
mistral-s2-v23,must match,1
mistral-s2-v23,product backlog,1
mistral-s2-v23,role,1
mistral-s2-v23,scrum,1
mistral-strategy2-v1,benefit,1
mistral-strategy2-v1,must match,1
mistral-strategy2-v1,product backlog,1
mistral-strategy2-v1,role,1
mistral-strategy2-v1,scrum,1
mistral-s2-v24,benefit,1
mistral-s2-v24,must match,1
mistral-s2-v24,product backlog,1
mistral-s2-v24,role,1
mistral-s2-v24,scrum,1
mistral-strategy2-v2,benefit,1
mistral-strategy2-v2,must match,1
mistral-strategy2-v2,product backlog,1
mistral-strategy2-v2,role,1
mistral-strategy2-v2,scrum,1
meta-ai-strategy2-v2,benefit,1
meta-ai-strategy2-v2,must match,1
meta-ai-strategy2-v2,product backlog,1
meta-ai-strategy2-v2,role,1
meta-ai-strategy2-v2,scrum,1
meta-ai-s2-v23,benefit,1
meta-ai-s2-v23,must match,1
meta-ai-s2-v23,product backlog,1
meta-ai-s2-v23,role,1
meta-ai-s2-v23,scrum,1
meta-ai-strategy2-v13,benefit,1
meta-ai-strategy2-v13,must match,1
meta-ai-strategy2-v13,product backlog,1
meta-ai-strategy2-v13,role,1
meta-ai-strategy2-v13,scrum,1
gemini-strategy2-v1,benefit,1
gemini-strategy2-v1,must match,1
gemini-strategy2-v1,product backlog,1
gemini-strategy2-v1,role,1
gemini-strategy2-v1,scrum,1
meta-ai-s2-v24,benefit,1
meta-ai-s2-v24,must match,1
meta-ai-s2-v24,product backlog,1
meta-ai-s2-v24,role,1
meta-ai-s2-v24,scrum,1
ms-copilot-strategy2-v1,benefit,1
ms-copilot-strategy2-v1,must match,1
ms-copilot-strategy2-v1,product backlog,1
ms-copilot-strategy2-v1,role,1
ms-copilot-strategy2-v1,scrum,1
ms-copilot-strategy2-v2,benefit,1
ms-copilot-strategy2-v2,must match,1
ms-copilot-strategy2-v2,product backlog,1
ms-copilot-strategy2-v2,role,1
ms-copilot-strategy2-v2,scrum,1
ms-copilot-strategy2-v13,benefit,1
ms-copilot-strategy2-v13,must match,1
ms-copilot-strategy2-v13,product backlog,1
ms-copilot-strategy2-v13,role,1
ms-copilot-strategy2-v13,scrum,1
ms-copilot-s2-v24,benefit,1
ms-copilot-s2-v24,must match,1
ms-copilot-s2-v24,product backlog,1
ms-copilot-s2-v24,role,1
ms-copilot-s2-v24,scrum,1
qwen-s2-v23,benefit,1
qwen-s2-v23,must match,1
qwen-s2-v23,product backlog,1
qwen-s2-v23,role,1
qwen-s2-v23,scrum,1
qwen-s2-v24,benefit,1
qwen-s2-v24,must match,1
qwen-s2-v24,product backlog,1
qwen-s2-v24,role,1
qwen-s2-v24,scrum,1
ms-copilot-s2-v21,benefit,1
ms-copilot-s2-v21,must match,1
ms-copilot-s2-v21,product backlog,1
ms-copilot-s2-v21,role,1
ms-copilot-s2-v21,scrum,1
qwen-s2-v21,benefit,1
qwen-s2-v21,must match,1
qwen-s2-v21,product backlog,1
qwen-s2-v21,role,1
qwen-s2-v21,scrum,1
ms-copilot-s2-v23,benefit,1
ms-copilot-s2-v23,must match,1
ms-copilot-s2-v23,product backlog,1
ms-copilot-s2-v23,role,1
ms-copilot-s2-v23,scrum,1
chat-gpt-s2-v24,benefit,1
chat-gpt-s2-v24,must match,1
chat-gpt-s2-v24,product backlog,1
chat-gpt-s2-v24,role,1
chat-gpt-s2-v24,scrum,1
chat-gpt-strategy2-v2,benefit,1
chat-gpt-strategy2-v2,must match,1
chat-gpt-strategy2-v2,product backlog,1
chat-gpt-strategy2-v2,role,1
chat-gpt-strategy2-v2,scrum,1
chat-gpt-s2-v23,benefit,1
chat-gpt-s2-v23,must match,1
chat-gpt-s2-v23,product backlog,1
chat-gpt-s2-v23,role,1
chat-gpt-s2-v23,scrum,1
gemini-s2-v23,benefit,1
gemini-s2-v23,must match,1
gemini-s2-v23,product backlog,1
gemini-s2-v23,role,1
gemini-s2-v23,scrum,1
chat-gpt-strategy2-v13,benefit,1
chat-gpt-strategy2-v13,must match,1
chat-gpt-strategy2-v13,product backlog,1
chat-gpt-strategy2-v13,role,1
chat-gpt-strategy2-v13,scrum,1
gemini-s2-v21,benefit,1
gemini-s2-v21,must match,1
gemini-s2-v21,product backlog,1
gemini-s2-v21,role,1
gemini-s2-v21,scrum,1
meta-ai-s2-v21,benefit,1
meta-ai-s2-v21,must match,1
meta-ai-s2-v21,product backlog,1
meta-ai-s2-v21,role,1
meta-ai-s2-v21,scrum,1
gemini-strategy2-v2,benefit,1
gemini-strategy2-v2,must match,1
gemini-strategy2-v2,product backlog,1
gemini-strategy2-v2,role,1
gemini-strategy2-v2,scrum,1
gemini-strategy2-v13,benefit,1
gemini-strategy2-v13,must match,1
gemini-strategy2-v13,product backlog,1
gemini-strategy2-v13,role,1
gemini-strategy2-v13,scrum,1
chat-gpt-strategy2-v1,benefit,1
chat-gpt-strategy2-v1,must match,1
chat-gpt-strategy2-v1,product backlog,1
chat-gpt-strategy2-v1,role,1
chat-gpt-strategy2-v1,scrum,1
chat-gpt-s2-v21,benefit,1
chat-gpt-s2-v21,must match,1
chat-gpt-s2-v21,product backlog,1
chat-gpt-s2-v21,role,1
chat-gpt-s2-v21,scrum,1
meta-ai-strategy2-v1,benefit,1
meta-ai-strategy2-v1,must match,1
meta-ai-strategy2-v1,product backlog,1
meta-ai-strategy2-v1,role,1
meta-ai-strategy2-v1,scrum,1
mistral-7.2b-s2-v3,benefit,1
mistral-7.2b-s2-v3,must match,1
mistral-7.2b-s2-v3,product backlog,1
mistral-7.2b-s2-v3,role,1
mistral-7.2b-s2-v3,scrum,1
mistral-7.2b-s2-v2,benefit,1
mistral-7.2b-s2-v2,must match,1
mistral-7.2b-s2-v2,product backlog,1
mistral-7.2b-s2-v2,role,1
mistral-7.2b-s2-v2,scrum,1
mistral-7.2b-s2-v1,benefit,1
mistral-7.2b-s2-v1,must match,1
mistral-7.2b-s2-v1,product backlog,1
mistral-7.2b-s2-v1,role,1
mistral-7.2b-s2-v1,scrum,1
mistral-small3.1-24b-s2-v2,benefit,1
mistral-small3.1-24b-s2-v2,must match,1
mistral-small3.1-24b-s2-v2,product backlog,1
mistral-small3.1-24b-s2-v2,role,1
mistral-small3.1-24b-s2-v2,scrum,1
mistral-small3.1-24b-s2-v1,benefit,1
mistral-small3.1-24b-s2-v1,must match,1
mistral-small3.1-24b-s2-v1,product backlog,1
mistral-small3.1-24b-s2-v1,role,1
mistral-small3.1-24b-s2-v1,scrum,1
mistral-small3.1-24b-s2-v3,benefit,1
mistral-small3.1-24b-s2-v3,must match,1
mistral-small3.1-24b-s2-v3,product backlog,1
mistral-small3.1-24b-s2-v3,role,1
mistral-small3.1-24b-s2-v3,scrum,1
gemma3-1b-s2-v1,user story,2
gemma3-1b-s2-v1,benefit,1
gemma3-1b-s2-v1,entity,1
gemma3-1b-s2-v1,feature,1
gemma3-1b-s2-v1,must match,1
dolphin3-8b-s1-v7,scrum,8
dolphin3-8b-s1-v7,product backlog,3
dolphin3-8b-s1-v7,optimization problem,2
dolphin3-8b-s1-v7,sprint,2
dolphin3-8b-s1-v7,stakeholder,2
dolphin3-8b-s1-v6,scrum,7
dolphin3-8b-s1-v6,entity,2
dolphin3-8b-s1-v6,feature,2
dolphin3-8b-s1-v6,feedback,2
dolphin3-8b-s1-v6,optimization problem,2
dolphin3-8b-s1-v4,scrum,7
dolphin3-8b-s1-v4,stakeholder,3
dolphin3-8b-s1-v4,optimization problem,2
dolphin3-8b-s1-v4,role,2
dolphin3-8b-s1-v4,user story,2
deepseek-r1-8b-s2-v3,story,2
deepseek-r1-8b-s2-v3,benefit,1
deepseek-r1-8b-s2-v3,must match,1
deepseek-r1-8b-s2-v3,product backlog,1
deepseek-r1-8b-s2-v3,role,1
deepseek-r1-8b-s2-v1,benefit,1
deepseek-r1-8b-s2-v1,must match,1
deepseek-r1-8b-s2-v1,product backlog,1
deepseek-r1-8b-s2-v1,role,1
deepseek-r1-8b-s2-v1,scrum,1
deepseek-r1-8b-s2-v2,benefit,1
deepseek-r1-8b-s2-v2,must match,1
deepseek-r1-8b-s2-v2,product backlog,1
deepseek-r1-8b-s2-v2,role,1
deepseek-r1-8b-s2-v2,scrum,1
ms-copilot-strategy1-v13,scrum,4
ms-copilot-strategy1-v13,benefit,1
ms-copilot-strategy1-v13,must match,1
ms-copilot-strategy1-v13,optimization problem,1
ms-copilot-strategy1-v13,product backlog,1
ms-copilot-strategy1-v2,scrum,4
ms-copilot-strategy1-v2,benefit,1
ms-copilot-strategy1-v2,must match,1
ms-copilot-strategy1-v2,optimization problem,1
ms-copilot-strategy1-v2,product backlog,1
ms-copilot-strategy1-v1,scrum,4
ms-copilot-strategy1-v1,benefit,1
ms-copilot-strategy1-v1,must match,1
ms-copilot-strategy1-v1,optimization problem,1
ms-copilot-strategy1-v1,product backlog,1
meta-ai-strategy1-v1,scrum,4
meta-ai-strategy1-v1,benefit,1
meta-ai-strategy1-v1,must match,1
meta-ai-strategy1-v1,optimization problem,1
meta-ai-strategy1-v1,product backlog,1
meta-ai-strategy1-v13,scrum,4
meta-ai-strategy1-v13,benefit,1
meta-ai-strategy1-v13,must match,1
meta-ai-strategy1-v13,optimization problem,1
meta-ai-strategy1-v13,product backlog,1
gemini-strategy1-v2,scrum,4
gemini-strategy1-v2,benefit,1
gemini-strategy1-v2,must match,1
gemini-strategy1-v2,optimization problem,1
gemini-strategy1-v2,product backlog,1
gemini-strategy1-v1,scrum,4
gemini-strategy1-v1,benefit,1
gemini-strategy1-v1,must match,1
gemini-strategy1-v1,optimization problem,1
gemini-strategy1-v1,product backlog,1
chat-gpt-strategy1-v1,scrum,4
chat-gpt-strategy1-v1,benefit,1
chat-gpt-strategy1-v1,must match,1
chat-gpt-strategy1-v1,optimization problem,1
chat-gpt-strategy1-v1,product backlog,1
chat-gpt-strategy1-v13,scrum,4
chat-gpt-strategy1-v13,benefit,1
chat-gpt-strategy1-v13,must match,1
chat-gpt-strategy1-v13,optimization problem,1
chat-gpt-strategy1-v13,product backlog,1
chat-gpt-strategy1-v2,scrum,4
chat-gpt-strategy1-v2,benefit,1
chat-gpt-strategy1-v2,must match,1
chat-gpt-strategy1-v2,optimization problem,1
chat-gpt-strategy1-v2,product backlog,1
mistral-strategy1-v2,scrum,4
mistral-strategy1-v2,benefit,1
mistral-strategy1-v2,must match,1
mistral-strategy1-v2,optimization problem,1
mistral-strategy1-v2,product backlog,1
mistral-strategy1-v13,scrum,4
mistral-strategy1-v13,benefit,1
mistral-strategy1-v13,must match,1
mistral-strategy1-v13,optimization problem,1
mistral-strategy1-v13,product backlog,1
